Ìåòêà;Êîëè÷åñòâî;Çíà÷åíèå;Ïàðàìåòðû;Òèï;Ìàðêèðîâêà;Àíàëîãè
BQ1;1;HC0905F;5V, 40R;DIP 9.5x6.5;5F K6F;-
C1;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C2;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C3;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C4;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C5;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C6;1;1uF;±10%, 50V, X7R;SMD 0805;-;-
C7;1;1uF;±10%, 50V, X7R;SMD 0805;-;-
C8;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C9;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C10;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C11;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C12;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C13;1;0.1uF;±10%, 50V, X7R;SMD 0805;-;-
C14;1;100pF;±10%, 50V, X7R;SMD 0805;-;-
C15;1;1uF;±10%, 50V, X7R;SMD 0805;-;-
C16;1;100pF;±10%, 50V, X7R;SMD 0805;-;-
C17;1;1uF;±10%, 50V, X7R;SMD 0805;-;-
C18;1;1uF;±10%, 50V, X7R;SMD 0805;-;-
C19;1;1uF;±10%, 50V, X7R;SMD 0805;-;-
C20;1;1uF;±10%, 50V, X7R;SMD 0805;-;-
C21;1;1uF;±10%, 50V, X7R;SMD 0805;-;-
C22;1;4.7uF;±10%, 50V, X7R;SMD 0805;-;-
C23;1;10uF;±10%, 50V, X7R;SMD 0805;-;-
DA1;1;AP2204K-3.3TRG1;LDO, 3.3V, 2.6-24V, 200mA;SOT-23-5;GAH;-
DD1;1;STM32F042C6T6;MCU, 48Mhz, 32k ROM, 6k RAM;LQFP-48;STM32F042C6T6;-
DD2;1;ADM3485EAR;RS-485;SO-8;ADM3485;-
DD3;1;ADM3485EAR;RS-485;SO-8;ADM3485;-
DD4;1;HD74HC86;2-in OR;SOP-14;HD74HC86;-
DD5;1;HD74HC86;2-in OR;SOP-14;HD74HC86;-
DD6;1;TL072ACDR; JFET-In OA;SO-8;TL072ACDR;-
DD7;1;TL072ACDR; JFET-In OA;SO-8;TL072ACDR;-
HL1;1;LHG2092;Red-Green, 5V, 20mA;DIP 3mm;-;-
HL2;1;LHG2092;Red-Green, 5V, 20mA;DIP 3mm;-;-
HL3;1;LHG2092;Red-Green, 5V, 20mA;DIP 3mm;-;-
HL4;1;LHG2092;Red-Green, 5V, 20mA;DIP 3mm;-;-
HL5;1;LHG2092;Red-Green, 5V, 20mA;DIP 3mm;-;-
HL6;1;LHG2092;Red-Green, 5V, 20mA;DIP 3mm;-;-
HL7;1;LHG2092;Red-Green, 5V, 20mA;DIP 3mm;-;-
HL8;1;LTV817CS;-;SOP-4;817C;-
HL9;1;LTV817CS;-;SOP-4;817C;-
HL10;1;LHG2092;Red-Green, 5V, 20mA;DIP 3mm;-;-
HL11;1;LTV817CS;-;SOP-4;817C;-
HL12;1;LTV817CS;-;SOP-4;817C;-
HL13;1;H11L2M;OPTOISOLATORS LOGIC OUTPUT;SOP-6;H11L2M;-
HL14;1;H11L2M;OPTOISOLATORS LOGIC OUTPUT;SOP-6;H11L2M;-
HL15;1;LTV817CS;-;SOP-4;817C;-
HL16;1;LTV817CS;-;SOP-4;817C;-
J1;1;;-;SMD Ïåðåìû÷êà;-;-
L1;1;LQH32MN330K23;33uH ±10%, 115mA;SMD 1210;330;-
L2;1;BLM31PG391SH1L;0.62uH ±25%, 2A;SMD 1206;-;-
P1;1;Reper_Tr;-;SMD;-;-
P2;1;Reper_Tr;-;SMD;-;-
P3;1;Reper_St;-;SMD;-;-
P4;1;Reper_St;-;SMD;-;-
R1;1;0;±5%, 150V, 0,125W;SMD 0805;-;-
R2;1;100;±5%, 150V, 0,125W;SMD 0805;-;-
R3;1;20k;±5%, 150V, 0,125W;SMD 0805;-;-
R4;1;20;±5%, 150V, 0,125W;SMD 0805;-;-
R5;1;20;±5%, 150V, 0,125W;SMD 0805;-;-
R6;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R7;1;5.1k;±5%, 150V, 0,125W;SMD 0805;-;-
R8;1;7.5k;±5%, 150V, 0,125W;SMD 0805;-;-
R9;1;5.1k;±5%, 150V, 0,125W;SMD 0805;-;-
R10;1;7.5k;±5%, 150V, 0,125W;SMD 0805;-;-
R11;1;0;±5%, 150V, 0,125W;SMD 0805;-;-
R12;1;100;±5%, 150V, 0,125W;SMD 0805;-;-
R13;1;20k;±5%, 150V, 0,125W;SMD 0805;-;-
R14;1;0;±5%, 150V, 0,125W;SMD 0805;-;-
R15;1;100;±5%, 150V, 0,125W;SMD 0805;-;-
R16;1;20k;±5%, 150V, 0,125W;SMD 0805;-;-
R17;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R18;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R19;1;5.1k;±5%, 150V, 0,125W;SMD 0805;-;-
R20;1;7.5k;±5%, 150V, 0,125W;SMD 0805;-;-
R21;1;5.1k;±5%, 150V, 0,125W;SMD 0805;-;-
R22;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R23;1;0;±5%, 150V, 0,125W;SMD 0805;-;-
R24;1;100;±5%, 150V, 0,125W;SMD 0805;-;-
R25;1;20k;±5%, 150V, 0,125W;SMD 0805;-;-
R26;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R27;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R28;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R29;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R30;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R31;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R32;1;100;±5%, 150V, 0,125W;SMD 0805;-;-
R33;1;100;±5%, 150V, 0,125W;SMD 0805;-;-
R34;1;680;±5%, 150V, 0,125W;SMD 0805;-;-
R35;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R36;1;680;±5%, 150V, 0,125W;SMD 0805;-;-
R37;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R38;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R39;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R40;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R41;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R42;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R43;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R44;1;100;±5%, 150V, 0,125W;SMD 0805;-;-
R45;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R46;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R47;1;100;±5%, 150V, 0,125W;SMD 0805;-;-
R48;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R49;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R50;1;510;±5%, 150V, 0,125W;SMD 0805;-;-
R51;1;510;±5%, 150V, 0,125W;SMD 0805;-;-
R52;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R53;1;47k;±5%, 150V, 0,125W;SMD 0805;-;-
R54;1;1;±5%, 150V, 0,125W;SMD 0805;-;-
R55;1;1;±5%, 150V, 0,125W;SMD 0805;-;-
R56;1;10k;±5%, 150V, 0,125W;SMD 0805;-;-
R57;1;220k;±5%, 150V, 0,125W;SMD 0805;-;-
R58;1;220k;±5%, 150V, 0,125W;SMD 0805;-;-
R59;1;10k;±5%, 150V, 0,125W;SMD 0805;-;-
R60;1;100;±5%, 200V, 0,75W;SMD 2010;-;-
R61;1;220;±5%, 150V, 0,125W;SMD 0805;-;-
R62;1;7.5k;±5%, 150V, 0,125W;SMD 0805;-;-
SB1;1;SWT-34;7mm;SWT-34;-;-
SB2;1;SWT-34;7mm;SWT-34;-;-
SB3;1;SWT-34;7mm;SWT-34;-;-
SB4;1;SWT-34;7mm;SWT-34;-;-
VD1;1;USBLC6-2SC6;USB ESD, 3.5pF;SOT-23-6;UL26;-
VD2;1;PESD5V2S2UT;ESD, 5.2V, 152pF;SOT-23;WU1;-
VD3;1;PESD5V2S2UT;ESD, 5.2V, 152pF;SOT-23;WU1;-
VD4;1;PESD5V2S2UT;ESD, 5.2V, 152pF;SOT-23;WU1;-
VD5;1;PESD5V2S2UT;ESD, 5.2V, 152pF;SOT-23;WU1;-
VD6;1;BAT54KFILM;40V, 0.3A;SOD-523;86;-
VD7;1;BAT54KFILM;40V, 0.3A;SOD-523;86;-
VD8;1;SS14;40V, 1A;SMA;SS14;-
VD9;1;SS14;40V, 1A;SMA;SS14;-
VD10;1;SS14;40V, 1A;SMA;SS14;-
VD11;1;SS14;40V, 1A;SMA;SS14;-
VT1;1;IRLML2502;N-Ch, 20V, 4.2A, 45ìÎì, S5.8;SOT-23;Gxxxx, KFK;SSM3K333R
XP1;1;Mini USB/M-1J;-;Mini USB/M-1J;-;-
XP2;1;PLS-1x2;-;PLS-1x2;-;-
XP3;1;PLS-1x3;-;PLS-1x3;-;-
XP4;1;306-021-12;-;-;-;-
XP5;1;PLS-1x2;-;PLS-1x2;-;-
XP6;1;PLS-1x3;-;PLS-1x3;-;-
XP7;1;306-021-12;-;-;-;-
XP8;1;PLS-1x3;-;PLS-1x3;-;-
XP9;1;PLS-1x3;-;PLS-1x3;-;-
XP10;1;306-021-12;-;-;-;-
XP11;1;306-021-12;-;-;-;-
XP12;1;PLS-1x4;-;PLS-1x4;-;-
XP13;1;PLS-1x4;-;PLS-1x4;-;-
XP14;1;PLS-1x4;-;PLS-1x4;-;-
XP15;1;PLS-1x4;-;PLS-1x4;-;-
XP16;1;PLS-1x5;-;PLS-1x5;-;-
XP17;1;306-021-12;-;-;-;-
XP18;1;306-021-12;-;-;-;-
